date,time,room,link,speaker,affiliation,title
"August 8, 2025",11:00 AM,GHC 6501,https://cmu.zoom.us,Dominik Peters,LAMSADE.,Computing Lindahl Equilibrium for Public Goods with and without Funding Caps
"September 25, 2025",4:00 PM,GHC 8102,https://cmu.zoom.us,Andy Haput,Stanford,"Preference Measurement Error, Concentration in Recommendation Systems, and Persuasion"
"October 28, 2025",4:00 PM,GHC 8102,https://cmu.zoom.us,Carlos Martin,Carnegie Mellon University,ApproxED: Approximate exploitability descent via learned best responses
"November 4, 2025",4:00 PM,NSH 3305,https://cmu.zoom.us,Brian H. Zhang,MIT,Scale-Invariant Regret Matching and Online Learning with Optimal Convergence: Bridging Theory and Practice in Zero-Sum Games
"November 11, 2025",4:00 PM,NSH 3305,https://cmu.zoom.us,Alec Sun,University of Chicago,Conservative classifiers do consistently well with improving agents: characterizing statistical and online learning
"November 19, 2025",4:00 PM,NSH 3305,https://cmu.zoom.us,Matt Casey,Northwestern,Justified Representation: From Hare to Droop
"November 25, 2025",1:00 PM,GHC 9115,https://cmu.zoom.us,Sílvia Casacuberta Puig,Stanford,Justified Representation: How Global Calibration Strengthens Multiaccuracy
"November 25, 2025",4:00 PM,NSH 3305,https://cmu.zoom.us,Caspar Oesterheld,Carnegie Mellon University,Safe (Pareto) improvements — a new approach in game theory
"December 2, 2025",4:00 PM,NSH 3305,https://cmu.zoom.us,Naveen Raman,Carnegie Mellon University,Assortment Optimization for Patient-Provider Matching
"December 4, 2025",4:00 PM,GHC 8102,https://cmu.zoom.us,Eden Hartman,Bar-Ilan University,Reducing Leximin Fairness to Utilitarian Optimization
"December 5, 2025",11:00 AM,GHC 9115,https://cmu.zoom.us,Prasanna Ramakrishnan,Stanford,How to Appease a Voter Majority
