date,time,room,link,speaker,affiliation,title
"Dec 5, 2024",12:00 PM,NSH 3001,https://cmu.zoom.us,Jiasun Li,George Mason,Profit Division Among Privately-Informed Agents and Beyond
"Jan 21, 2025",12:30 PM,NSH 3001,https://cmu.zoom.us,Brian H. Zhang,Carnegie Mellon University,Computational Game Theory in the Modern Age: New Techniques and Connections
"Jan 28, 2025",12:30 PM,NSH 3001,https://cmu.zoom.us,Rattana Pukdee,Carnegie Mellon University,Nash Equilibria and Pitfalls of Adversarial Training in Adversarial Robustness Games
"Feb 4, 2025",12:30 PM,NSH 3001,https://cmu.zoom.us,Naveen Raman,Carnegie Mellon University,Ex-Global Rewards in Restless Multi-Armed Bandits
"Feb 12, 2025",1:00 PM,GHC 7101,https://cmu.zoom.us,Jiahao Zhang,Carnegie Mellon University,Ex-post Individually Rational Bayesian Persuasion
"Feb 18, 2025",12:30 PM,NSH 3001,https://cmu.zoom.us,Emanuel Tewolde,Carnegie Mellon University,Imperfect-Recall Games: Equilibrium Concepts and Their Complexity
"Feb 18, 2025",1:00 PM,NSH 3001,https://cmu.zoom.us,Emin Berker,Carnegie Mellon University,The Value of Recall in Extensive-Form Games
"Feb 24, 2025",1:15 PM,GHC 7501,https://cmu.zoom.us,Eugene Vorobeychik,WashU,Achieving AI Safety in a Contested World
"Mar 11, 2025",1:00 PM,GHC 6501,https://cmu.zoom.us,Caspar Oesterheld,Carnegie Mellon University,New foundational ideas for cooperative AI
"Mar 18, 2025",12:30 PM,NSH 3001,https://cmu.zoom.us,Carlos Martin,Carnegie Mellon University,Finding mixed-strategy Nash equilibria of black-box continuous-action games using randomized policy networks and joint-perturbation simultaneous pseudo-gradients
"Mar 25, 2025",12:30 PM,NSH 3001,https://cmu.zoom.us,Jingwu Tang & Jiahao Zhang,Carnegie Mellon University,Dimension-Free Decision Calibration for Nonlinear Losses
"Apr 1, 2025",12:30 PM,NSH 3001,https://cmu.zoom.us,Emin Berker,Carnegie Mellon University,From Independence of Clones to Composition Consistency: A Hierarchy of Barriers to Strategic Nomination
"Apr 15, 2025",12:30 PM,NSH 3001,https://cmu.zoom.us,Harrison Grodin,Carnegie Mellon University,Compositional Game Theory
"Apr 22, 2025",12:30 PM,NSH 3001,https://cmu.zoom.us,Kiriaki (Korinna) Fragkia,Carnegie Mellon University,Learning in Structured Stackelberg Games
